,index,est,value,beta,se,bias,variance
893,97,BIPW,-1.7096272652178421,-1.0,29.804944650238294,34.37283758504899,0.16276769357166118
894,98,IPS,-0.09700333263933035,-1.0,14.797613037441849,6.3310531230298315,1.770518084368618
895,98,SNIPS,-1.9530899821147756,-1.0,32.52253483305583,13.582144156112667,4.0701333665613735
896,98,BIPW,-2.986506231433315,-1.0,45.37732634459987,34.37283758504899,0.7628872710199421
897,99,IPS,-0.09207312831090589,-1.0,14.75970665397736,6.3310531230298315,1.757422051030587
898,99,SNIPS,-1.8484968576809189,-1.0,31.34051608208964,13.582144156112667,3.6590487940299057
899,99,BIPW,-3.2444889296175186,-1.0,48.91956336322846,34.37283758504899,1.280104157716468
900,0,IPS,-3.1821871879522123,-0.5,48.05193668705218,1.2996816207014623,33.54627504020363
901,0,SNIPS,-3.1226357834791747,-0.5,47.22986828979978,5.8122415557887255,19.905338539475867
902,0,BIPW,-1.2204867986497736,-0.5,24.70338541189841,27.371008451344856,0.06837225474486668
903,1,IPS,-1.0564929233997782,-0.5,23.10009827456691,1.2996816207014623,13.44117174206713
904,1,SNIPS,-3.2603002451966727,-0.5,49.14099001740612,5.8122415557887255,21.1526810290533
905,1,BIPW,-1.0264421874825438,-0.5,22.812138252072664,27.371008451344856,0.20750348031420146
906,2,IPS,-0.08865929550582388,-0.5,14.73348753420389,1.2996816207014623,7.281290966301742
907,2,SNIPS,-1.7693549047577086,-0.5,30.460665057151157,5.8122415557887255,9.661274324623895
908,2,BIPW,-2.361307733330528,-0.5,37.3451883982957,27.371008451344856,0.7732389178458312
909,3,IPS,-0.048931216581443254,-0.5,14.430079547865676,1.2996816207014623,7.068465844281957
910,3,SNIPS,-0.9796249097230025,-0.5,22.367112237627115,5.8122415557887255,5.375576980744935
911,3,BIPW,-1.2524647170225107,-0.5,25.02228449899404,27.371008451344856,0.052671613028760625
912,4,IPS,-0.5724723549005787,-0.5,18.68172050756303,1.2996816207014623,10.12639552516954
913,4,SNIPS,-2.016574422864783,-0.5,33.25065000179935,5.8122415557887255,11.259236423958997
